Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.881218112244898,0.8864795918367347,0.11878188775510201,0.11352040816326525,0.9063887939870174,0.9175675675675675,0.8492317541613317,0.8530150753768844,0.9129606099110547,0.9209844559585493,0.8768798545694927,0.8841145833333333,0.8810961820361931,0.8869997656677168,Logistic Regression,MinMaxScaler,CV,mutual information
0.7026466836734694,0.701530612244898,0.2973533163265306,0.298469387755102,0.7144804088586031,0.7135416666666666,0.6712548015364916,0.6884422110552764,0.7337992376111817,0.7150259067357513,0.6921934312592838,0.7007672634271099,0.7025270195738367,0.7017340588955138,Logistic Regression,StandardScaler,CV,mutual information
0.521843112244898,0.4961734693877551,0.478156887755102,0.5038265306122449,0.521499828001376,0.5038659793814433,0.4852752880921895,0.49120603015075376,0.5581321473951716,0.5012953367875648,0.502735864699055,0.4974554707379135,0.5217037177436805,0.49625068346915924,Logistic Regression,RobustScaler,CV,mutual information
0.8915816326530612,0.8845663265306123,0.10841836734693877,0.11543367346938771,0.9049039098740888,0.9030144167758847,0.8741997439180538,0.8655778894472361,0.908831003811944,0.9041450777202072,0.8892868772386845,0.8838999358563181,0.8915153738649989,0.8848614835837216,Logistic Regression,QuantileTransformer,CV,mutual information
0.5448022959183674,0.5414540816326531,0.4551977040816326,0.4585459183673469,0.5235840785551464,0.5268667131891137,0.9558258642765685,0.9484924623115578,0.1369123252858958,0.12176165803108809,0.6765605528492127,0.6774338268281741,0.5463690947812321,0.5351270601713229,Gaussian Naive Bayes,MinMaxScaler,CV,mutual information
0.5047831632653061,0.5076530612244898,0.49521683673469385,0.49234693877551017,0.5014525500322788,0.5077120822622108,0.9945582586427657,0.992462311557789,0.018742058449809404,0.007772020725388601,0.6667381974248927,0.6717687074829932,0.5066501585462876,0.5001171661415889,Gaussian Naive Bayes,StandardScaler,CV,mutual information
0.5025510204081632,0.5057397959183674,0.49744897959183676,0.4942602040816326,0.5003233107015842,0.5067524115755627,0.9907170294494239,0.9899497487437185,0.018106734434561626,0.006476683937823834,0.664876476906552,0.6703530412590387,0.5044118819419927,0.4982132163407712,Gaussian Naive Bayes,RobustScaler,CV,mutual information
0.8807397959183674,0.8775510204081632,0.11926020408163263,0.12244897959183676,0.907128169979438,0.901595744680851,0.8473111395646606,0.8517587939698492,0.9139135959339263,0.9041450777202072,0.8761999337967561,0.875968992248062,0.8806123677492934,0.8779519358450283,Gaussian Naive Bayes,QuantileTransformer,CV,mutual information
0.7806122448979592,0.7901785714285714,0.21938775510204078,0.2098214285714286,0.71337890625,0.7309594460929772,0.9353393085787451,0.928391959798995,0.6270648030495553,0.6476683937823834,0.8094182825484765,0.8179302711676812,0.7812020558141503,0.7880301767906893,Perceptron,MinMaxScaler,CV,mutual information
0.6385522959183674,0.6466836734693877,0.3614477040816326,0.3533163265306123,0.5978087194704406,0.6082289803220036,0.838348271446863,0.8542713567839196,0.44027954256670904,0.4326424870466321,0.6979347101932045,0.7105538140020898,0.639313907006786,0.6434569219152758,Perceptron,StandardScaler,CV,mutual information
