Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.8805803571428571,0.8839285714285714,0.1194196428571429,0.1160714285714286,0.9043241402791965,0.9137466307277629,0.8501920614596671,0.8517587939698492,0.9107369758576874,0.917098445595855,0.8764230325028872,0.881664499349805,0.8804645186586773,0.8844286197828521,Logistic Regression,MinMaxScaler,TF-IDF,k-best
0.7292729591836735,0.7238520408163265,0.2707270408163265,0.2761479591836735,0.748432055749129,0.7385019710906702,0.6875800256081946,0.7060301507537688,0.7706480304955527,0.7422279792746114,0.7167167167167167,0.7219010918432884,0.7291140280518738,0.72412906501419,Logistic Regression,StandardScaler,TF-IDF,k-best
0.8153698979591837,0.8303571428571429,0.1846301020408163,0.1696428571428571,0.829644533869886,0.8505291005291006,0.791933418693982,0.8077889447236181,0.8386277001270648,0.8536269430051814,0.8103504749426793,0.8286082474226804,0.8152805594105232,0.8307079438643997,Logistic Regression,RobustScaler,TF-IDF,k-best
0.8947704081632653,0.892219387755102,0.10522959183673475,0.10778061224489799,0.9090305444887118,0.9108781127129751,0.8764404609475032,0.8731155778894473,0.9129606099110547,0.9119170984455959,0.8924380704041721,0.8915971776779987,0.894700535429279,0.8925163381675215,Logistic Regression,QuantileTransformer,TF-IDF,k-best
0.8694196428571429,0.8813775510204082,0.1305803571428571,0.11862244897959184,0.849348287359806,0.8710462287104623,0.8969270166453265,0.8994974874371859,0.8421219822109276,0.8626943005181347,0.8724894908921066,0.88504326328801,0.869524499428127,0.8810958939776603,Gaussian Naive Bayes,MinMaxScaler,TF-IDF,k-best
0.6195790816326531,0.6364795918367347,0.3804209183673469,0.36352040816326525,0.5716783216783217,0.5869230769230769,0.9420614596670934,0.9585427135678392,0.29955527318932657,0.30440414507772023,0.7115570599613152,0.7280534351145038,0.62080836642821,0.6314734293227797,Gaussian Naive Bayes,StandardScaler,TF-IDF,k-best
0.5994897959183674,0.6071428571428571,0.4005102040816326,0.3928571428571429,0.5563121089436879,0.565406976744186,0.9676696542893726,0.9773869346733668,0.23411689961880558,0.22538860103626943,0.7064734751110073,0.716390423572744,0.6008932769540891,0.6013877678548181,Gaussian Naive Bayes,RobustScaler,TF-IDF,k-best
0.8842474489795918,0.8832908163265306,0.11575255102040816,0.11670918367346939,0.900200267022697,0.9017038007863696,0.8633162612035852,0.864321608040201,0.9050190597204575,0.9028497409326425,0.8813725490196079,0.8826170622193714,0.8841676604620214,0.8835856744864217,Gaussian Naive Bayes,QuantileTransformer,TF-IDF,k-best
0.8848852040816326,0.8883928571428571,0.11511479591836737,0.1116071428571429,0.8937704918032787,0.9027237354085603,0.8725992317541613,0.8743718592964824,0.8970775095298602,0.9028497409326425,0.8830579850988014,0.8883216336949585,0.8848383706420107,0.8886108001145624,Perceptron,MinMaxScaler,TF-IDF,k-best
0.5146683673469388,0.5223214285714286,0.48533163265306123,0.4776785714285714,0.5064935064935064,0.515210355987055,0.998719590268886,1.0,0.03430749682337993,0.029792746113989636,0.6721240844463593,0.680051260145237,0.516513543546133,0.5148963730569949,Perceptron,StandardScaler,TF-IDF,k-best
0.7664221938775511,0.7653061224489796,0.23357780612244894,0.23469387755102045,0.7526652452025586,0.7529550827423168,0.7909731113956466,0.800251256281407,0.7420584498094028,0.7292746113989638,0.7713438426720773,0.7758830694275274,0.7665157806025247,0.7647629338401853,Perceptron,RobustScaler,TF-IDF,k-best
0.8346619897959183,0.8367346938775511,0.16533801020408168,0.16326530612244894,0.7799839012610679,0.7903225806451613,0.9305377720870679,0.9233668341708543,0.7395171537484116,0.7474093264248705,0.8486352357320098,0.8516801853997682,0.8350274629177398,0.8353880802978624,Perceptron,QuantileTransformer,TF-IDF,k-best
1.0,0.8992346938775511,0.0,0.10076530612244894,1.0,0.899749373433584,1.0,0.9020100502512562,1.0,0.8963730569948186,1.0,0.9008782936010037,1.0,0.8991915536230375,Decision Tree,MinMaxScaler,TF-IDF,k-best
0.9998405612244898,0.8686224489795918,0.00015943877551016783,0.13137755102040816,1.0,0.871536523929471,0.9996798975672215,0.8693467336683417,1.0,0.8678756476683938,0.9998399231631183,0.8704402515723271,0.9998399487836107,0.8686111906683677,Decision Tree,StandardScaler,TF-IDF,k-best
1.0,0.8424744897959183,0.0,0.15752551020408168,1.0,0.8409937888198757,1.0,0.8505025125628141,1.0,0.8341968911917098,1.0,0.8457214241099312,1.0,0.8423497018772619,Decision Tree,RobustScaler,TF-IDF,k-best
0.9996811224489796,0.8903061224489796,0.0003188775510204467,0.10969387755102045,1.0,0.8890274314214464,0.9993597951344431,0.8957286432160804,1.0,0.8847150259067358,0.9996797950688441,0.8923654568210263,0.9996798975672215,0.8902218345614081,Decision Tree,QuantileTransformer,TF-IDF,k-best
1.0,0.9266581632653061,0.0,0.07334183673469385,1.0,0.9645293315143247,1.0,0.8881909547738693,1.0,0.966321243523316,1.0,0.9247874427730542,1.0,0.9272560991485926,Random Forest,MinMaxScaler,TF-IDF,k-best
0.9998405612244898,0.9068877551020408,0.00015943877551016783,0.09311224489795922,1.0,0.9368279569892473,0.9996798975672215,0.8756281407035176,1.0,0.939119170984456,0.9998399231631183,0.9051948051948051,0.9998399487836107,0.9073736558439868,Random Forest,StandardScaler,TF-IDF,k-best
1.0,0.9049744897959183,0.0,0.09502551020408168,1.0,0.9449793672627235,1.0,0.8630653266331658,1.0,0.9481865284974094,1.0,0.902166776099803,1.0,0.9056259275652876,Random Forest,RobustScaler,TF-IDF,k-best
0.9996811224489796,0.920280612244898,0.0003188775510204467,0.07971938775510201,1.0,0.9408672798948752,0.9993597951344431,0.8994974874371859,1.0,0.9417098445595855,0.9996797950688441,0.9197174052665382,0.9996798975672215,0.9206036659983857,Random Forest,QuantileTransformer,TF-IDF,k-best
