Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.881218112244898,0.8864795918367347,0.11878188775510201,0.11352040816326525,0.9063887939870174,0.9175675675675675,0.8492317541613317,0.8530150753768844,0.9129606099110547,0.9209844559585493,0.8768798545694927,0.8841145833333333,0.8810961820361931,0.8869997656677168,Logistic Regression,MinMaxScaler,TF-IDF,mutual information
0.7026466836734694,0.7021683673469388,0.2973533163265306,0.29783163265306123,0.7144804088586031,0.7139141742522757,0.6712548015364916,0.6896984924623115,0.7337992376111817,0.7150259067357513,0.6921934312592838,0.7015974440894569,0.7025270195738367,0.7023621995990315,Logistic Regression,StandardScaler,TF-IDF,mutual information
0.53125,0.5146683673469388,0.46875,0.48533163265306123,0.5292249047013977,0.5209580838323353,0.5332906530089628,0.5464824120603015,0.5292249047013977,0.48186528497409326,0.5312500000000001,0.533415082771306,0.5312577788551802,0.5141738485171974,Logistic Regression,RobustScaler,TF-IDF,mutual information
0.8915816326530612,0.8845663265306123,0.10841836734693877,0.11543367346938771,0.9049039098740888,0.9030144167758847,0.8741997439180538,0.8655778894472361,0.908831003811944,0.9041450777202072,0.8892868772386845,0.8838999358563181,0.8915153738649989,0.8848614835837216,Logistic Regression,QuantileTransformer,TF-IDF,mutual information
0.5448022959183674,0.5414540816326531,0.4551977040816326,0.4585459183673469,0.5235840785551464,0.5268667131891137,0.9558258642765685,0.9484924623115578,0.1369123252858958,0.12176165803108809,0.6765605528492127,0.6774338268281741,0.5463690947812321,0.5351270601713229,Gaussian Naive Bayes,MinMaxScaler,TF-IDF,mutual information
0.5057397959183674,0.5082908163265306,0.4942602040816326,0.4917091836734694,0.5019361084220716,0.5080282594733462,0.9958386683738797,0.9937185929648241,0.01937738246505718,0.007772020725388601,0.6674533361939498,0.6723331916702082,0.5076080254194684,0.5007453068451064,Gaussian Naive Bayes,StandardScaler,TF-IDF,mutual information
0.5129145408163265,0.514030612244898,0.4870854591836735,0.485969387755102,0.5056548106867726,0.5110389610389611,0.987516005121639,0.9886934673366834,0.04193138500635324,0.02461139896373057,0.6688346883468834,0.6738013698630136,0.5147236950639961,0.5066524331502069,Gaussian Naive Bayes,RobustScaler,TF-IDF,mutual information
0.8807397959183674,0.8775510204081632,0.11926020408163263,0.12244897959183676,0.907128169979438,0.901595744680851,0.8473111395646606,0.8517587939698492,0.9139135959339263,0.9041450777202072,0.8761999337967561,0.875968992248062,0.8806123677492934,0.8779519358450283,Gaussian Naive Bayes,QuantileTransformer,TF-IDF,mutual information
0.7806122448979592,0.7901785714285714,0.21938775510204078,0.2098214285714286,0.71337890625,0.7309594460929772,0.9353393085787451,0.928391959798995,0.6270648030495553,0.6476683937823834,0.8094182825484765,0.8179302711676812,0.7812020558141503,0.7880301767906893,Perceptron,MinMaxScaler,TF-IDF,mutual information
0.5626594387755102,0.5625,0.43734056122448983,0.4375,0.5338065661047028,0.5385694249649369,0.9628681177976952,0.964824120603015,0.16550190597204575,0.14766839378238342,0.6868363968489555,0.6912691269126913,0.5641850118848705,0.5562462571926992,Perceptron,StandardScaler,TF-IDF,mutual information
