stats
"                          mean    median       max       min       var       std
Training Accuracy     0.825817  0.884646  1.000000  0.501435  0.033627  0.183376
Accuracy              0.787400  0.883610  0.942602  0.491709  0.024311  0.155919
Training Error        0.174183  0.115354  0.498565  0.000000  0.033627  0.183376
Test Error            0.212600  0.116390  0.508291  0.057398  0.024311  0.155919
Training Precision    0.825555  0.905044  1.000000  0.444444  0.036396  0.190778
Precision             0.792893  0.889643  0.979620  0.333333  0.029526  0.171833
Training Recall       0.884179  0.963348  1.000000  0.001280  0.035420  0.188203
Recall                0.843373  0.887563  1.000000  0.001256  0.028176  0.167856
Training Specificity  0.767900  0.912643  1.000000  0.018107  0.097315  0.311954
Specificity           0.729688  0.890544  0.997409  0.006477  0.088714  0.297850
Training F1-Score     0.835752  0.882215  1.000000  0.002553  0.037942  0.194787
F1-Score              0.800743  0.882351  0.941330  0.002503  0.028383  0.168472
Training ROC-AUC      0.826040  0.884621  1.000000  0.499846  0.033508  0.183052
ROC-AUC               0.786530  0.883724  0.943174  0.496251  0.024766  0.157372"
